word,tf
지극히,2.58
주관적,2.0
감상,2.58
내내,3.32
장치,3.0
깔,2.0
내가,4.0
찾,4.32
건,5.58
뿐,3.81
크리스,9.22
친구,7.75
로즈,8.49
함께,5.58
놀러가,3.0
그런데,4.58
겐,2.58
걱정거리,1.0
흑인,9.06
부모님,4.91
물어보,3.32
왈,2.0
아버지,5.17
이번,3.81
바,3.58
마,3.81
뽑,2.58
거,5.91
저,6.43
차,5.91
길,4.7
사슴,6.49
차로,2.0
치,5.75
죽,5.46
갈,4.81
울음소리,1.0
구슬프,1.0
숲,2.0
사슴과,2.0
몽타주,1.0
맞,4.17
늘,4.46
운명,1.0
암시,2.0
도착,4.32
눈,3.58
제일,4.32
먼저,3.32
관리인,2.0
들어가,3.32
스,4.0
얘기,4.46
딘,6.21
싫,4.0
동일시,1.0
곱,1.0
들리,2.0
어머니,5.09
정신과,3.0
사,3.58
최면,6.98
걸,5.46
미시,5.58
독대,1.0
이후,5.09
곧,3.0
의미,4.17
확신,2.0
듣,5.09
뺑소니,3.0
실제,3.58
자리,4.17
즉사,1.0
몇,3.32
옆,3.32
방치,1.0
채,4.58
덜,5.46
치이,3.0
서서히,2.58
아이러니,1.0
인하,3.81
뭔,4.7
이상,6.43
이튿날,2.0
온통,3.0
백인,7.86
모이,3.58
파티,5.81
딱,3.32
한명,2.0
동족,2.58
어,5.09
나사,1.0
빠지,5.09
언어,2.58
옷,3.58
스타일,1.0
인종,6.0
영어,3.58
차이,3.58
못,5.32
느끼,6.17
나지,1.0
로드,6.0
통화,4.0
장면,6.81
비교,2.0
아미,5.64
티,5.0
쓰,5.52
다르,4.46
교과서,2.0
외국인,1.0
배우,3.32
결국,5.32
위,4.46
주의,3.81
와썹,1.0
맨,2.58
하지만,6.32
상대방,2.0
단어,2.0
가령,2.0
조지나,6.32
대화,4.32
알아듣,2.0
고급,2.58
정확히,2.0
상류층,2.58
벌,2.58
스타인,1.0
사회학,1.0
이론,1.0
생각나,2.58
대목,1.0
계급,2.58
사용,3.0
어휘,2.0
말투,3.58
정,3.32
교,1.0
실제로,2.0
영국,1.0
중산층,2.0
노동,2.0
별로,3.0
사진,5.64
인물,4.0
을,4.91
몰래,2.58
찍,5.0
보내,3.81
왜,4.58
저렇,3.0
입,3.0
지역별,1.0
은,4.46
누,2.58
누구,3.32
백이,3.0
가족,6.91
딸,3.32
남자,6.83
풀리,3.58
로,5.17
세,4.46
미치,3.58
듯이,2.58
달려들,3.0
외치,4.46
모습,5.58
이전,2.58
딱딱,1.0
로봇,2.0
당장,3.0
나가,5.09
스포,5.17
영생,2.0
누리,2.0
그릇,2.0
욕망,2.0
돌리,3.32
곳,4.91
특히나,2.0
신체,5.17
건강,5.39
그래서,4.91
빙고,4.46
게임,4.46
자,3.81
마치,3.81
미술품,1.0
구매,2.0
경매,5.32
뇌,6.39
이식,6.17
네,3.0
기적,1.0
행하,1.0
낙찰,2.58
사진작가,2.0
인,3.58
심미안,2.58
갖,3.32
장님,2.58
딜러,1.0
게다,2.58
냔,1.0
나쁘,2.0
말하자면,1.0
묻,3.58
공급,1.0
처,1.0
지하,2.0
가두,2.0
팔,2.58
짓,3.58
체육,1.0
대회,1.0
우승,1.0
그리,4.32
월터,5.91
주방,2.0
도와주,3.32
로지,2.0
역시,5.0
애인,2.0
누군가,2.0
몸,7.32
바꿔치,1.0
당한,1.0
희생자,1.0
영화,8.88
막바지,1.0
추격전,1.0
이유,4.58
밝혀지,2.0
바로,4.7
할아버지,5.39
할머니,5.25
빌리,1.0
인생,2.0
마지막,5.81
심장,2.58
쫄리,2.0
탈출기,1.0
성공,3.32
끝나,4.81
경찰차,3.58
등장,4.58
솔직히,3.32
너무,5.39
걱정,4.91
경찰,5.95
혹시,1.0
라도,1.0
오해,1.0
총,4.17
쏘,2.58
어떡하,1.0
아마,3.32
이것,4.7
감독,4.81
노리,2.0
여러,2.0
첫,4.7
번째,5.09
이때,3.0
신분증,4.91
요구,3.81
운전,2.58
며칠,3.0
행방불명,1.0
신고,3.58
이지만,2.0
믿,2.58
죄다,2.0
편견,3.32
똘똘,1.0
뭉치,2.0
꼴,1.0
보고,4.32
다행히,2.0
교통,3.0
위대,1.0
영상,4.17
소품,2.0
분,5.75
내지,1.0
뮤비에,1.0
온갖,2.0
복선,5.52
상징물,1.0
넘쳐나,2.0
하물며,1.0
무엇,3.32
다,5.81
발견,4.7
떡밥,1.0
아주,4.81
인종차별,4.46
떠올리,3.81
가장,3.58
유색인,1.0
종,2.0
차별,6.09
간의,1.0
겟아웃,7.23
기득권,1.0
여태껏,1.0
그리하,4.17
멸시,1.0
우월,3.0
능력,2.0
조건,2.0
존재,3.0
시,2.58
느낌,5.25
탐하,2.0
혹은,1.0
요새,3.0
대세,1.0
쿨하,2.0
각자,1.0
원하,3.81
끔찍,2.0
프로젝트,2.0
선천적,1.0
유전자,2.58
동경,2.58
시작,4.32
여기,6.04
함정,1.0
동의,1.0
없이,4.58
바꾸,4.32
발칙,1.0
발상,2.0
어디,3.32
만지,2.58
진행,4.0
언뜻,2.0
권력자,1.0
