word,tf
곡성,7.89
관람,4.91
일자,1.0
극장,2.58
전주,1.0
효자,1.0
평점,3.58
스포일러,3.0
조금,4.32
포함,3.58
영화,9.2
보신,4.0
분,6.61
만,3.32
읽,3.0
을,5.95
내내,4.0
듣,6.29
이거,3.0
까,4.17
극찬,2.0
이유,3.81
대체,2.58
뭔,4.81
수많,2.0
유혹,2.58
뿌리치,1.0
거의,3.0
모든,5.91
리뷰,5.0
물리치,2.58
채,5.09
은,4.17
필자,2.58
자극적,4.0
현란,1.0
몰입,2.58
감,5.0
외,5.52
어떠하,2.58
미학,1.0
안기,2.58
가톨릭,2.0
토속,2.0
신앙,4.0
맞물림,1.0
삐걱거리,1.0
무엇,5.17
명쾌,1.0
해석,6.93
내리,5.25
없이,5.25
자기,5.0
뜻대로,1.0
뚝심,1.0
밀,2.0
나간,2.0
홍진,5.52
감독,6.58
연출,4.17
추,5.39
격자,1.0
황,4.91
거치,2.58
더욱,4.17
장면,7.27
고민,3.32
구장,1.0
창,1.0
느낌,5.0
끝나,5.7
선혈,1.0
낭자,2.0
화면,2.58
치,5.46
배우,5.75
연기력,3.58
다,6.73
뽑아내,2.0
실로,1.0
눈물겹,1.0
곽도원,6.64
정민,4.81
천우희,7.09
두말,1.0
필요,3.32
아역,4.17
김환희,5.25
입,5.81
쌍,2.58
욕,3.32
관객,5.7
자극,3.32
의도,3.0
대성공,1.0
낳,4.32
적극,1.0
활용,1.0
머,2.0
릿,1.0
휘젓,1.0
분명,3.0
선수,1.0
이지만,2.0
기술,1.0
너무,5.09
심하,3.32
우려내,1.0
나머지,1.0
오히려,4.46
끝,4.91
허탈,1.0
법,3.0
결말,6.58
인하,4.7
밍숭밍,1.0
숭하,1.0
버리,6.67
조용,2.0
의문,5.46
연쇄,4.0
사,4.17
건들,3.58
로,4.32
발칵,3.32
뒤집히,3.32
사건,7.78
일어나,5.7
마을,7.75
잇,3.81
연잇,2.0
인해,2.0
경찰관,3.32
마저,1.0
갈팡질팡,1.0
결국,6.67
집단,3.81
야생,4.0
버섯,4.58
중독,4.0
결론,5.17
서두르,1.0
종결짓,1.0
하지만,6.25
낯설,4.46
일본,5.39
등장,5.7
하면서,2.0
시작,6.81
소문,5.81
의심,7.54
계속,5.39
커지,3.32
상황,3.81
현장,6.32
지키,5.32
종구,9.5
낱낱이,1.0
목격,5.39
여인,4.17
만나,6.0
일본인,8.46
헛소리,2.0
직감,2.58
땋,3.58
효,7.17
진이,6.36
피해자,4.91
비슷,4.7
