word,tf
종구,9.5
영화,9.2
외지인,8.65
일광,8.52
일본인,8.46
무명,8.15
곡성,7.89
사건,7.78
마을,7.75
죽,7.6
효진,7.57
의심,7.54
굿,7.36
딸,7.32
장면,7.27
귀신,7.19
효,7.17
천우희,7.09
모습,7.07
악마,6.95
해석,6.93
거,6.91
시작,6.81
저,6.81
발견,6.75
믿,6.75
경찰,6.75
다,6.73
이상,6.73
버리,6.67
결국,6.67
곽도원,6.64
분,6.61
감독,6.58
결말,6.58
악,6.58
죽이,6.52
존재,6.49
사진,6.49
닭,6.46
현혹,6.43
무당,6.39
진이,6.36
황정민,6.36
현장,6.32
살인,6.32
듣,6.29
가족,6.29
하지만,6.25
후,6.25
무,6.25
울,6.21
내용,6.17
찾,6.17
찾아가,6.09
몸,6.04
모두,6.04
진짜,6.04
만나,6
을,5.95
이야기,5.95
모든,5.91
세,5.91
연기,5.91
날리,5.91
동료,5.91
마지막,5.91
뒤,5.86
돌아오,5.86
입,5.81
소문,5.81
줄,5.81
묻,5.81
부분,5.81
배우,5.75
박,5.75
끝나,5.7
관객,5.7
일어나,5.7
등장,5.7
맞,5.7
인간,5.7
차,5.7
스포,5.7
갑자기,5.7
들어가,5.64
던지,5.64
돌아가,5.64
찍,5.58
미끼,5.58
처음,5.58
그냥,5.58
왜,5.58
피,5.58
바로,5.58
외,5.52
홍진,5.52
해지,5.52
여기,5.52
보여주,5.52
무섭,5.52
못,5.52
선,5.52
배,5.52
수호신,5.52
치,5.46
의문,5.46
정말,5.46
범인,5.46
확신,5.46
먹,5.46
늘,5.46
날,5.46
아내,5.46
추,5.39
일본,5.39
계속,5.39
목격,5.39
느끼,5.39
이것,5.39
발생,5.39
덫,5.39
줄거리,5.39
지키,5.32
남,5.32
걸,5.32
마라,5.32
성복,5.32
내리,5.25
없이,5.25
김환희,5.25
갈,5.25
이후,5.25
밤,5.25
나가,5.25
나타나,5.25
눈,5.25
역시,5.25
양이삼,5.25
예수,5.25
듯,5.25
함께,5.25
무엇,5.17
결론,5.17
공포,5.17
의,5.17
이해,5.17
어느,5.17
곳,5.17
의미,5.17
부제,5.17
사라지,5.17
채,5.09
너무,5.09
힘,5.09
정체,5.09
이때,5.09
전화,5.09
장모,5.09
진의,5.09
보시,5.09
반전,5.09
중구,5.09
리뷰,5
감,5
자기,5
느낌,5
마음,5
미치,5
편,5
아직,5
생기,5
지인,5
걸리,5
이미,5
관람,4.91
황,4.91
끝,4.91
피해자,4.91
비,4.91
개인적,4.91
같이,4.91
굉장히,4.91
할머니,4.91
아,4.91
그래서,4.91
쿠,4.91
포스터,4.91
명이,4.91
뭔,4.81
정민,4.81
서,4.81
많이,4.81
누구,4.81
부르,4.81
자꾸,4.81
마,4.81
돌,4.81
손,4.81
살리,4.81
중간,4.81
떨어지,4.81
있음,4.81
아이,4.81
인하,4.7
비슷,4.7
오컬트,4.7
인물,4.7
뿐,4.7
다음,4.7
연,4.7
임,4.7
물,4.7
정신,4.7
다르,4.7
행동,4.7
괴로워하,4.7
옷,4.7
라,4.7
막,4.7
사이,4.7
잡,4.7
확인,4.7
아주,4.7
독버섯,4.7
버섯,4.58
무속,4.58
장르,4.58
건,4.58
힘들,4.58
진,4.58
들리,4.58
쓰,4.58
가장,4.58
절대,4.58
앉,4.58
덜,4.58
네,4.58
고통,4.58
벌어지,4.58
후기,4.58
꿈,4.58
물건,4.58
재밌,4.58
어,4.58
주술,4.58
상태,4.58
쓰러지,4.58
의식,4.58
향하,4.58
친구,4.58
도착,4.58
오히려,4.46
낯설,4.46
주변,4.46
듯하,4.46
전혀,4.46
터,4.46
명확,4.46
좋아하,4.46
자체,4.46
남자,4.46
참,4.46
신,4.46
그때,4.46
아프,4.46
누,4.46
동네,4.46
공격,4.46
변하,4.46
위,4.46
구절,4.46
자,4.46
좀비,4.46
문,4.46
아빠,4.46
일행,4.46
스릴러,4.46
뭐,4.46
함,4.46
죽음,4.46
스토리,4.46
그리,4.46
악귀,4.46
단서,4.46
조금,4.32
낳,4.32
로,4.32
두드러기,4.32
숨,4.32
제대로,4.32
마치,4.32
스,4.32
첫,4.32
본인,4.32
어디,4.32
근처,4.32
나쁘,4.32
일가족,4.32
살해,4.32
믿음,4.32
쪽,4.32
겁,4.32
형사,4.32
아래,4.32
흥국,4.32
토하,4.32
이에,4.32
직접,4.32
번째,4.32
잔인,4.32
길,4.32
노인,4.32
까,4.17
은,4.17
연출,4.17
더욱,4.17
아역,4.17
사,4.17
여인,4.17
한국,4.17
만큼,4.17
역할,4.17
호불호,4.17
하다,4.17
재미,4.17
시골,4.17
설명,4.17
혹은,4.17
놈,4.17
목격자,4.17
점점,4.17
순간,4.17
뜻,4.17
얘기,4.17
쫓,4.17
넘,4.17
이제,4.17
잃,4.17
아마,4.17
또한,4.17
일으키,4.17
도망가,4.17
단계,4.17
제단,4.17
지켜보,4.17
덕기,4.17
병원,4.17
잠시,4.17
까마귀,4.17
시체,4.17
시들,4.17
극,4.17
시,4.17
부활,4.17
엄청,4.17
보신,4
내내,4
자극적,4
신앙,4
연쇄,4
야생,4
중독,4
떠나,4
자살,4
글,4
재미있,4
그리하,4
도시,4
동물,4
산,4
출연,4
드,4
조사,4
진실,4
엄청나,4
있었,4
용하,4
타,4
교차,4
한패,4
삼이,4
표현,4
베드로,4
성경,4
끼,4
한편,4
원인,4
이번,4
퍼지,4
부,4
대,4
수상,4
두려움,4
금,4
어초,4
지구대,4
다음날,4
산속,4
따,4
트럭,4
절벽,4
엔딩,4
의견,4
머리,4
짓,4
방,4
편집,4
뼈,4
쏟,4
피의자,4
이유,3.81
잇,3.81
집단,3.81
상황,3.81
증상,3.81
증세,3.81
불러들이,3.81
씌이,3.81
기운,3.81
느껴지,3.81
작,3.81
기이,3.81
궁금,3.81
찾아보,3.81
흥행,3.81
밖,3.81
꼭,3.81
현상,3.81
불,3.81
지르,3.81
결과,3.81
돋,3.81
증거,3.81
해보,3.81
대화,3.81
사망,3.81
실내화,3.81
들어오,3.81
그런데,3.81
부인,3.81
캐릭터,3.81
말리,3.81
놓치,3.81
동안,3.81
무언가,3.81
아무,3.81
차리,3.81
상대,3.81
동시,3.81
조,3.81
고라니,3.81
잠,3.81
옆집,3.81
시각,3.81
급하,3.81
챙기,3.81
머리핀,3.81
품,3.81
피부병,3.81
자리,3.81
벌이,3.81
열,3.81
저주,3.81
이르,3.81
곽,3.81
