word,tf
부산행,8.0
관람,4.46
일자,1.0
극장,3.0
전주,1.0
고사,1.0
평점,3.0
영화,9.4
을,4.17
연출,3.0
연,5.64
상호,5.52
감독,6.29
관객,5.25
전작,3.81
이야기,4.46
괴,1.0
심,4.81
괴리감,1.0
당황,3.0
단편,2.58
시작,6.36
데뷔작,1.0
서울역,5.39
모두,5.32
애니메이션,4.17
슈,1.0
렉,1.0
도리,1.0
찾,4.91
때깔,1.0
착각,1.0
거칠,1.0
투박,1.0
년대,1.0
만화,1.0
스타일,2.58
색감,1.0
움직임,3.58
자랑,2.58
주루룩,1.0
나열,1.0
블록버스터,3.81
가능,3.32
의문,2.58
열,5.75
맡기,1.0
아무래도,3.32
신의,1.0
듯하,4.81
기독교,1.0
뿌리깊,1.0
자리잡,3.0
폐해,1.0
고발,3.0
사이,5.32
비,6.95
단,3.58
한편,5.17
팬,1.0
필자,1.0
조금,4.81
걱정,4.0
기우,2.0
표현,4.32
진부,2.58
은,4.17
좀비,8.81
서양,2.58
존재,2.58
국내,4.0
고질병,1.0
신파,4.0
적절히,1.0
수액,1.0
꽂,2.0
증상,1.0
완화,1.0
꽤,4.91
그럴싸하,1.0
늘,5.09
바쁘,4.17
일상,2.0
인하,5.17
아내,5.75
결국,5.86
이혼,4.7
딸,6.91
못나,1.0
아빠,5.7
낙인찍히,1.0
석우,8.06
수안,7.78
생일,4.91
맞,4.0
부산,7.04
엄마,5.64
소원,1.0
들어주,1.0
아침,2.0
첫,4.0
함께,5.75
오르,4.7
기차,6.36
막,6.0
출발,5.46
밖,4.81
싸움,3.58
비슷,1.0
소란,2.58
목격,3.0
대수롭,1.0
넘기,2.58
채,5.17
속력,1.0
몸,5.52
비틀,2.0
숨,4.58
넘어가,4.0
게,1.0
탑승,4.91
가운데,3.32
곧,3.32
옆,3.58
여,4.32
승무원,5.91
덮치,3.81
순식간,3.58
바이러스,5.95
감염,7.09
로,4.17
아수라,1.0
정부,4.7
긴급,3.58
재난,4.46
경,4.81
보령,3.0
선포,3.0
별일,1.0
거,6.39
안내,3.0
방송,4.32
내보내,2.0
국민,3.32
대처,3.32
알려주,3.32
비롯,4.0
살아남,5.95
향하,5.17
사투,4.58
정차,4.32
천안,2.58
아산,2.58
역,6.32
이미,5.58
점령,1.0
다음,4.46
역인,1.0
대전,4.91
달려가,4.58
돼지,3.32
왕,3.81
뚜렷,3.0
지점,1.0
이번,4.7
통해,2.0
색깔,2.58
많이,4.58
약,2.58
해지,3.32
평가,2.0
정신,3.32
은유,1.0
돌리,3.58
뿐,4.0
여전히,2.0
유지,1.0
왜,5.17
정체불명,2.58
창궐,2.58
서울,5.09
전국,3.32
대도시,1.0
퍼지,4.32
지에,2.58
대,5.0
설명,3.32
부족,3.0
간,4.0
혈투,1.0
어떻게,3.58
역경,2.0
이기,2.0
주인공,5.75
무사히,4.17
구출,2.0
장면,7.0
구구,2.0
절절,2.58
걷어내,2.0
러닝,2.0
타임,2.0
대부분,3.58
할애,2.0
낯설,2.0
