word,tf
영화,9.4
좀비,8.81
석우,8.06
열차,8.06
부산행,8
공유,7.85
수안,7.78
칸,7.44
배우,7.23
마,7.15
감염,7.09
감염자,7.09
부산,7.04
모습,7.04
장면,7
비,6.95
딸,6.91
정유미,6.86
동석,6.83
용석,6.81
문,6.81
상황,6.73
타,6.64
정말,6.64
저,6.64
성경,6.52
버리,6.43
거,6.39
시작,6.36
기차,6.36
역,6.32
다,6.32
감독,6.29
소희,6.29
하지만,6.29
여기,6.25
듣,6.21
개봉,6.21
노숙자,6.21
변하,6.17
상화,6.09
연기,6.04
군인,6.04
생존자,6.04
막,6
영국,6
뒤,6
분,6
바이러스,5.95
살아남,5.95
뭐,5.95
처음,5.95
승무원,5.91
희생,5.91
물리,5.91
갈,5.91
인물,5.91
기장,5.91
터널,5.91
친구,5.91
결국,5.86
김의성,5.81
지키,5.81
기석,5.81
열,5.75
아내,5.75
함께,5.75
주인공,5.75
가장,5.75
아빠,5.7
역시,5.7
최우식,5.7
물,5.7
화장실,5.7
안전,5.7
연,5.64
엄마,5.64
호,5.64
안이,5.64
진희,5.64
이미,5.58
부분,5.58
바로,5.58
아이,5.58
없이,5.58
승객,5.58
김,5.58
상호,5.52
몸,5.52
쓰,5.52
스포,5.52
너무,5.52
출발,5.46
라,5.46
느낌,5.46
좋아하,5.46
끝,5.46
사랑,5.46
일행,5.46
서울역,5.39
한국,5.39
비들,5.39
마동석,5.39
회사,5.39
상태,5.39
대전역,5.39
공격,5.39
인간,5.39
모두,5.32
사이,5.32
느끼,5.32
덜,5.32
그리,5.32
기대,5.32
쪽,5.32
마지막,5.32
관객,5.25
남,5.25
혼자,5.25
작품,5.25
줄,5.25
선로,5.25
후기,5.25
계속,5.25
죽,5.25
한편,5.17
인하,5.17
채,5.17
향하,5.17
왜,5.17
까,5.17
자기,5.17
무섭,5.17
구하,5.17
참,5.17
차,5.17
내리,5.17
이상,5.17
후,5.17
늘,5.09
서울,5.09
손,5.09
나가,5.09
달리,5.09
아,5.09
전화,5.09
대,5
보여주,5
고라니,5
일어나,5
만나,5
진짜,5
같이,5
건,5
찾,4.91
꽤,4.91
생일,4.91
탑승,4.91
대전,4.91
캐릭터,4.91
주변,4.91
들어가,4.91
아저씨,4.91
못,4.91
세,4.91
남자,4.91
이동,4.91
할머니,4.91
어쩌,4.91
떨어지,4.91
노래,4.91
재밌,4.91
대리,4.91
심,4.81
듯하,4.81
조금,4.81
밖,4.81
경,4.81
비가,4.81
발생,4.81
올라타,4.81
우리나라,4.81
이기적,4.81
발견,4.81
그래서,4.81
역할,4.81
확인,4.81
펀드,4.81
자,4.81
의,4.81
어,4.81
닫,4.81
기관차,4.81
이혼,4.7
오르,4.7
정부,4.7
이번,4.7
물론,4.7
곳,4.7
흥행,4.7
데리,4.7
김수안,4.7
빠지,4.7
야구,4.7
장르,4.7
길,4.7
이후,4.7
갑자기,4.7
마음,4.7
아쉽,4.7
지나,4.7
들어오,4.7
악역,4.7
선,4.7
살리,4.7
야구부,4.7
울,4.7
보시,4.7
개인적,4.7
이기주의,4.7
둘,4.7
숨,4.58
사투,4.58
달려가,4.58
많이,4.58
당하,4.58
안타깝,4.58
순간,4.58
출연,4.58
위험,4.58
편,4.58
눈물,4.58
다르,4.58
통화,4.58
그리하,4.58
씬,4.58
선물,4.58
듯,4.58
느껴지,4.58
매니저,4.58
감정,4.58
사태,4.58
관람,4.46
이야기,4.46
재난,4.46
다음,4.46
가족,4.46
걷,4.46
아직,4.46
액션,4.46
굉장히,4.46
싸우,4.46
임,4.46
어느,4.46
끝나,4.46
묻,4.46
스,4.46
어둡,4.46
찍,4.46
알리,4.46
지역,4.46
부르,4.46
이유,4.46
눈,4.46
도망치,4.46
대사,4.46
확산,4.46
설정,4.46
표현,4.32
여,4.32
방송,4.32
정차,4.32
퍼지,4.32
뉴스,4.32
스스로,4.32
별,4.32
결말,4.32
낳,4.32
트럭,4.32
드러나,4.32
가리,4.32
도망가,4.32
만큼,4.32
던지,4.32
원인,4.32
간신히,4.32
하다,4.32
특히,4.32
이기심,4.32
빠르,4.32
정보,4.32
스릴러,4.32
글,4.32
서로,4.32
어머니,4.32
팀장,4.32
을,4.17
애니메이션,4.17
은,4.17
바쁘,4.17
로,4.17
무사히,4.17
사건,4.17
의도,4.17
부성애,4.17
벌어지,4.17
기다리,4.17
초반,4.17
등장,4.17
신경,4.17
놀라,4.17
어디,4.17
소녀,4.17
피하,4.17
임산부,4.17
멈추,4.17
위,4.17
달려오,4.17
와중,4.17
시작하,4.17
성,4.17
이용,4.17
마블리,4.17
깊,4.17
이해,4.17
속도,4.17
거리,4.17
처하,4.17
그냥,4.17
새벽,4.17
워,4.17
주의,4.17
이내,4.17
스토리,4.17
창문,4.17
걱정,4
국내,4
신파,4
맞,4
첫,4
넘어가,4
비롯,4
뿐,4
간,4
여름,4
영상,4
이제,4
쓰러지,4
변칙,4
인상,4
반응,4
여러,4
몰,4
멋지,4
생존,4
뻔하,4
미,4
거의,4
치,4
근데,4
넘,4
떼,4
중간,4
상무,4
이때,4
깨지,4
넘어지,4
먼저,4
남기,4
잠시,4
챙기,4
바람,4
짓,4
반대편,4
보고,4
도시,4
도중,4
입,4
보신,4
내내,4
도착,4
아마,4
위기,4
번째,4
꼭,4
중인,4
폭동,4
전부,4
아주,4
물어뜯,4
파악,4
전작,3.81
블록버스터,3.81
덮치,3.81
왕,3.81
기사,3.81
아무것,3.81
이것,3.81
수준,3.81
벌이,3.81
시도,3.81
외,3.81
부인,3.81
남편,3.81
거기,3.81
높,3.81
스릴,3.81
나름,3.81
괜찮,3.81
덕분,3.81
리뷰,3.81
만하,3.81
방역,3.81
지나가,3.81
보내,3.81
이미지,3.81
없다,3.81
공포,3.81
달려들,3.81
뭔,3.81
엄청나,3.81
네,3.81
고,3.81
여부,3.81
안되,3.81
일하,3.81
그때,3.81
겁,3.81
