word,tf
관람,4.0
일자,1.0
극장,2.58
전주,1.0
효자,1.0
평점,2.0
갑자,1.0
사라지,5.0
딸,8.35
흔적,5.46
좇,2.0
아버지,5.32
눈물겹,1.0
부성애,2.58
기초,1.0
영화,8.85
서치,7.57
늘,5.75
테이,2.0
식,4.46
무대뽀,1.0
찾,7.3
삼만,1.0
리,4.32
온라인,5.32
상,4.17
펼쳐지,3.58
정통,1.0
스릴러,5.39
실종,7.13
이후,5.0
노트북,6.17
속속들이,1.0
들여다보,2.0
과연,3.58
존재,4.32
가장,4.32
가깝,3.0
가족,5.25
정작,2.0
아무,3.32
미안,3.0
이야기,7.04
신파,1.0
요소,3.81
배제,2.0
채,4.46
관계,4.7
회복,3.0
깔끔,3.32
그리,4.58
과정,4.91
오롯이,1.0
진행,4.32
기발,2.0
더하,2.58
근래,1.0
드물,1.0
독특,4.32
관람료,2.0
지갑,1.0
열,2.58
전혀,5.0
손색,2.0
연출,5.17
쉬,5.25
차간,4.58
티,4.81
감독,5.17
마이클,2.0
잭,1.0
슬,1.0
같이,4.58
한번,3.32
외우,1.0
쉽,4.46
이름,4.58
한번쯤,1.0
클릭,2.58
해보,4.58
놀라,4.17
필,1.0
모,2.0
그래피,1.0
단,3.0
편,3.32
발견,6.86
터,4.17
마고,10.22
생물학,1.0
스터디,5.17
친구,7.17
밤,5.46
새,3.81
연락,6.7
아빠,7.85
데이빗,8.69
걱정,4.7
영상,7.07
통화,5.25
확인,6.0
안심,3.58
잠,4.17
자리,3.58
드,3.32
한밤중,2.0
울리,3.0
전화,7.54
발신자,2.0
하지만,7.17
데이,6.25
빗,5.91
깊,3.58
빠지,4.81
아침,4.7
일어,2.0
연속,1.0
보내,5.7
문자,4.32
응답,1.0
차차,1.0
시작,6.7
마치,3.0
일찍,2.58
나가,5.25
곧바로,2.58
경찰,6.21
신고,5.25
담당,5.17
형사,8.19
배정,5.09
수사,6.52
시작하,4.58
행방,4.0
묘연,1.0
상황,4.91
비밀,3.58
번호,3.58
풀,3.32
페이스북,5.0
인스타그램,3.81
가입,1.0
모든,5.86
뒤지,4.46
그냥,4.7
평범,3.0
다정,1.0
줄,5.17
뜻밖,1.0
터져나오,1.0
당황,3.0
눈,3.32
넣,3.58
아프,3.58
일념하,1.0
능력,2.58
최대한,2.0
활용,4.91
많이,5.64
납치,3.0
혹은,1.0
감금,1.0
자,4.81
이기,3.58
체력,1.0
강하,2.0
악당,1.0
동선,1.0
명확히,1.0
파악,3.0
센스,2.58
필요,3.32
거,6.86
몸,2.58
쓰,5.32
디지털,2.0
시대,2.58
걸맞,1.0
총,3.32
동원,3.0
잃어버리,2.0
이유,3.58
가지각색,1.0
까,2.0
주로,2.0
스타일,1.0
의,4.46
신선,4.81
배가,1.0
이제,4.46
막,2.0
피,3.81
새기,1.0
신인,1.0
믿기,1.0
정,3.81
도로,2.0
힘,3.58
흔들림,1.0
탄탄,2.0
각본,1.0
이르,4.0
적절,2.0
버무리,1.0
피어나,1.0
긴장감,3.32
러닝,2.58
타임,4.17
내내,3.58
군더더기,1.0
없이,5.09
유지,2.58
여기,4.17
처음,5.17
끝,5.32
브라운관,1.0
핸드폰,3.0
화면,6.32
기기,1.0
이루어지,2.58
형식,3.32
끊,4.0
짐,2.58
잇,3.32
갈,4.58
편집,1.0
빛,1.0
발하,1.0
소재,4.58
자체,3.0
새롭,5.25
지언,1.0
난생,1.0
다가오,2.0
장르,3.0
차지,2.0
위치,4.0
얼마나,3.0
높,3.32
가늠,1.0
부분,5.09
해럴드,1.0
쿠,1.0
코미디,2.58
스타트,2.58
렉,3.32
시리즈,1.0
진중,1.0
술,2.58
역할,3.58
왠,2.0
만하,3.0
캐릭터,3.0
모두,5.25
섭렵,1.0
배우,5.64
존,4.81
조의,2.58
뜨겁,2.0
연기,4.81
헐리우드,3.0
스타,2.58
한국계,4.7
미국,3.0
조,5.25
캐스팅,1.0
단독,1.0
주연,2.0
제작,2.58
여간,1.0
반갑,2.0
올해,1.0
수식어,1.0
무색,1.0
발상,1.0
빛나,1.0
지난주,2.0
북미,1.0
단촐하,1.0
개봉,4.58
이번,3.32
확대,1.0
확고히,1.0
계기,1.0
듯하,2.58
대부분,3.81
출연,3.0
뿐,4.81
단계,1.0
업그레이드,1.0
발판,1.0
바람,3.32
컴퓨터,6.13
전재,1.0
못지않,1.0
억지,1.0
전개,3.32
반전,5.86
일품,1.0
빠지지,1.0
언급,3.32
후기,4.0
결말,5.58
가다,1.0
꿈나라,1.0
여행,2.58
중이,2.0
덜,5.46
목요일,4.7
미,3.81
셸,3.32
라,5.7
통,5.39
걸리,5.46
다음날,3.81
계속,5.58
시도,4.58
들리,2.0
목소리,2.0
마음,5.46
어느,5.17
날,6.49
갑자기,3.81
행방불명,1.0
노력,3.32
담,2.58
특이점,1.0
즉,3.32
작품,4.32
포인트,3.0
오늘날,3.0
인간,2.0
삶,2.0
일부분,1.0
모습,6.04
즐기,1.0
행적,4.17
쫓아가,3.32
추리,4.58
소셜,3.58
네트워크,3.58
요즘,3.58
듣,6.13
참신,2.58
묻,4.0
녀석,1.0
자주,5.17
만나,4.0
카메라,4.32
멈추,1.0
주인공,3.58
질의,1.0
새로,3.0
움,3.0
전하,2.58
인상,1.0
남기,5.64
성공,3.32
엄연히,1.0
얻,3.81
조금,4.0
부족,2.0
이미,4.81
인,3.0
디,3.81
세계,2.0
몇,4.58
쓰이,2.58
그리하,4.17
다르,4.91
효과적,2.0
사용,4.0
고민,4.46
얼,3.0
프렌디드,2.0
삭제,2.58
보여주,4.46
전체,1.0
뒤덮,2.0
버리,5.17
방식,4.32
구성,4.46
오랜만,3.0
흔하,2.58
나름,2.0
느껴지,4.32
대체적,1.0
이에,4.0
폐해,3.58
소개,3.0
대표적,1.0
도구,1.0
순기능,2.0
유튜브,5.17
라이브,1.0
방송,5.46
비,4.32
텀블러,3.32
다양,4.17
다채,1.0
꾸미,3.81
변화,1.0
나타내,1.0
더욱,3.0
비슷하,1.0
보다,3.81
방법,4.0
흥미,3.81
부여,1.0
촘촘,2.0
밀,4.7
당,2.58
돋보이,3.32
뛰어나,1.0
추적,4.7
틈,3.0
불안,1.0
의심,5.17
감정,4.91
장면,5.95
전환,3.58
끊임없이,2.0
체인,1.0
징,1.0
선보이,2.0
끝나,4.17
등장,5.7
나타나,3.58
촘촘하게,1.0
이어지,3.58
이로써,1.0
서스펜스,2.58
키우,2.0
뚫어지,1.0
바라보,2.58
웠,3.0
다,4.91
잠깐,2.0
부가,2.0
설명,4.0
인칭,2.0
시점,2.58
형태,1.0
온전히,1.0
이입,1.0
도와주,3.81
꼴,1.0
이러하,3.32
조건,2.0
변하,2.0
위,4.0
현상,1.0
더더욱,2.58
번지,1.0
집중력,1.0
또한,4.91
영리,2.0
선택,2.0
듯,5.0
강요,1.0
감사히,1.0
당연히,2.58
냉큼,1.0
이러,1.0
순간,3.58
끼,2.0
물,4.46
혼란,2.58
찾아오,3.81
머릿속,1.0
지저분,1.0
꽃피우,1.0
결국,6.13
분하,1.0
정리,3.32
하여,2.0
헐겁,1.0
일부러,2.0
지속적,1.0
예측,1.0
없었,4.0
집중,3.58
마구,2.0
샘솟,1.0
활용법,1.0
이상,5.86
켜지,2.58
윈도,2.0
우,2.0
초기,1.0
설정,3.32
스크린,3.32
마우스,3.0
커서,2.0
움직이,1.0
남자,4.17
계정,5.17
집어넣,1.0
사진,6.55
찍,4.7
켜,1.0
밝,2.58
웃,1.0
아내,5.58
어리,5.09
세,3.0
치즈,1.0
구호,1.0
함께,6.13
이내,1.0
뒤잇,1.0
피아노,6.32
치,4.7
침대,1.0
오르,2.0
타,4.32
잠을,1.0
깨우,2.0
대회,1.0
연주,2.0
응원,1.0
생일잔치,1.0
플레이,2.0
구글,4.58
검색,4.58
창,2.58
임파선,3.81
암,6.21
싸우,1.0
법,1.0
운동,2.58
투병,3.81
생활,2.58
담기,2.0
연잇,1.0
킴,6.43
파,5.52
메,5.75
사라,3.32
손,4.17
먼저,3.0
떠나보내,1.0
고등학교,2.0
다니,4.58
부재중,5.32
다음,4.81
걸,4.58
메시지,4.17
엄마,7.39
걷,3.58
계획,1.0
캠핑,5.0
그로,3.81
인해,2.0
장난,3.0
