word,tf
마고,10.22
영화,8.85
데이빗,8.69
딸,8.35
형사,8.19
아빠,7.85
데이비드,7.67
사건,7.63
로즈메리,7.6
서치,7.57
전화,7.54
빅,7.46
엄마,7.39
찾,7.3
친구,7.17
하지만,7.17
실종,7.13
아들,7.09
영상,7.07
이야기,7.04
범인,6.93
마,6.91
발견,6.86
거,6.86
호수,6.75
연락,6.7
시작,6.7
사진,6.55
수사,6.52
날,6.49
킴,6.43
화면,6.32
피아노,6.32
로버트,6.32
데이,6.25
경찰,6.21
암,6.21
노트북,6.17
컴퓨터,6.13
듣,6.13
결국,6.13
함께,6.13
한나,6.13
돈,6.13
동생,6.13
절벽,6.13
인터넷,6.09
모습,6.04
차,6.04
확인,6
피터,6
장면,5.95
죽,5.95
빗,5.91
정말,5.91
모든,5.86
반전,5.86
이상,5.86
너무,5.86
늘,5.75
메,5.75
보내,5.7
라,5.7
등장,5.7
친하,5.7
많이,5.64
배우,5.64
남기,5.64
아이,5.64
가출,5.64
결말,5.58
계속,5.58
아내,5.58
파,5.52
후,5.52
흔적,5.46
밤,5.46
덜,5.46
걸리,5.46
마음,5.46
방송,5.46
바로,5.46
분,5.46
조사,5.46
거짓말,5.46
스릴러,5.39
통,5.39
곳,5.39
저,5.39
스포,5.39
모델,5.39
유,5.39
자백,5.39
아버지,5.32
온라인,5.32
쓰,5.32
끝,5.32
부재중,5.32
캐스트,5.32
가족,5.25
쉬,5.25
통화,5.25
나가,5.25
신고,5.25
새롭,5.25
모두,5.25
조,5.25
어머니,5.25
느끼,5.25
하다,5.25
자살,5.25
연출,5.17
감독,5.17
스터디,5.17
담당,5.17
줄,5.17
처음,5.17
어느,5.17
자주,5.17
버리,5.17
유튜브,5.17
의심,5.17
계정,5.17
줄거리,5.17
재밌,5.17
배정,5.09
없이,5.09
부분,5.09
어리,5.09
뒤,5.09
사랑,5.09
인물,5.09
내용,5.09
자원,5.09
사라지,5
이후,5
전혀,5
페이스북,5
듯,5
캠핑,5
뉴스,5
단서,5
과정,4.91
상황,4.91
활용,4.91
다르,4.91
감정,4.91
다,4.91
또한,4.91
레슨,4.91
굉장히,4.91
패,4.91
지내,4.91
아래,4.91
수색,4.91
죽이,4.91
뭔,4.91
떨어지,4.91
혼자,4.91
대화,4.91
김,4.91
티,4.81
빠지,4.81
자,4.81
신선,4.81
존,4.81
연기,4.81
뿐,4.81
이미,4.81
다음,4.81
상처,4.81
개인적,4.81
맡,4.81
좋아하,4.81
어디,4.81
개인,4.81
정보,4.81
장례,4.81
올리,4.81
느낌,4.81
여경찰,4.81
관계,4.7
걱정,4.7
아침,4.7
그냥,4.7
한국계,4.7
목요일,4.7
밀,4.7
추적,4.7
찍,4.7
치,4.7
직접,4.7
지루,4.7
무엇,4.7
자기,4.7
관객,4.7
마지막,4.7
마리화나,4.7
사이,4.7
그리,4.58
차간,4.58
같이,4.58
이름,4.58
해보,4.58
시작하,4.58
갈,4.58
소재,4.58
개봉,4.58
시도,4.58
추리,4.58
몇,4.58
구글,4.58
검색,4.58
다니,4.58
걸,4.58
오히려,4.58
표현,4.58
중간,4.58
학교,4.58
진짜,4.58
알리바이,4.58
향하,4.58
폭우,4.58
식,4.46
채,4.46
쉽,4.46
뒤지,4.46
의,4.46
이제,4.46
고민,4.46
보여주,4.46
구성,4.46
물,4.46
범죄,4.46
이용,4.46
인하,4.46
부모,4.46
장례식,4.46
서로,4.46
글,4.46
성폭행,4.46
추모,4.46
사이트,4.46
돌리,4.46
구조,4.46
그만두,4.46
달러,4.46
버티,4.46
리,4.32
존재,4.32
가장,4.32
진행,4.32
독특,4.32
문자,4.32
작품,4.32
카메라,4.32
방식,4.32
느껴지,4.32
비,4.32
타,4.32
잃,4.32
힘들,4.32
털어놓,4.32
점점,4.32
행복,4.32
믿,4.32
이것,4.32
맞,4.32
떡밥,4.32
업,4.32
로드,4.32
둘,4.32
체포,4.32
얘기,4.32
북,4.32
범죄자,4.32
덮,4.32
찾아가,4.32
현실,4.32
달라,4.32
상,4.17
놀라,4.17
터,4.17
잠,4.17
타임,4.17
여기,4.17
행적,4.17
그리하,4.17
다양,4.17
끝나,4.17
남자,4.17
손,4.17
메시지,4.17
브라,4.17
남,4.17
죽음,4.17
관심,4.17
사,4.17
일상,4.17
적이,4.17
누군가,4.17
기다리,4.17
동안,4.17
먹,4.17
거짓,4.17
그룹,4.17
척,4.17
모으,4.17
돌려주,4.17
잘못,4.17
소통,4.17
앤,4.17
꺼내,4.17
바,4.17
스,4.17
닿,4.17
전과자,4.17
건,4.17
스트리밍,4.17
관람,4
행방,4
이르,4
끊,4
위치,4
후기,4
묻,4
만나,4
조금,4
사용,4
이에,4
방법,4
설명,4
위,4
없었,4
페이스,4
삼촌,4
병원비,4
대,4
기대,4
역,4
길,4
증거,4
시,4
소름,4
평소,4
진실,4
찾아내,4
자식,4
거리,4
간,4
누구,4
설치,4
얼굴,4
역시,4
추천,4
저녁,4
개월,4
신분증,4
위조,4
가능성,4
그곳,4
프로필,4
경찰서,4
살해,4
나누,4
알아보,4
알아내,4
산,4
입,4
작업,4
비드,4
요소,3.81
새,3.81
인스타그램,3.81
피,3.81
정,3.81
대부분,3.81
미,3.81
다음날,3.81
갑자기,3.81
얻,3.81
디,3.81
꾸미,3.81
보다,3.81
흥미,3.81
도와주,3.81
찾아오,3.81
임파선,3.81
투병,3.81
그로,3.81
너무나,3.81
도움,3.81
거기,3.81
살인,3.81
물론,3.81
어,3.81
페이스톡,3.81
여러,3.81
가짜,3.81
이렇게,3.81
잡,3.81
가정,3.81
주변,3.81
학원,3.81
결정적,3.81
동시,3.81
드러나,3.81
촬영,3.81
찍히,3.81
있었,3.81
알리,3.81
밝혀지,3.81
보시,3.81
들어오,3.81
장,3.81
아이디,3.81
급하,3.81
임,3.81
찾아보,3.81
기록,3.81
예전,3.81
위로,3.81
르,3.81
보사,3.81
펼쳐지,3.58
과연,3.58
안심,3.58
자리,3.58
깊,3.58
비밀,3.58
번호,3.58
넣,3.58
아프,3.58
이기,3.58
이유,3.58
힘,3.58
내내,3.58
역할,3.58
소셜,3.58
네트워크,3.58
요즘,3.58
주인공,3.58
폐해,3.58
전환,3.58
나타나,3.58
이어지,3.58
순간,3.58
집중,3.58
걷,3.58
싱,3.58
추억,3.58
겐,3.58
떠나,3.58
참,3.58
과거,3.58
돌아오,3.58
예고편,3.58
비판,3.58
맞추,3.58
요청,3.58
연결,3.58
은폐,3.58
을,3.58
고,3.58
현,3.58
뭐,3.58
영화관,3.58
시절,3.58
실마리,3.58
사용하,3.58
쫓,3.58
달리,3.58
몰래,3.58
경찰의,3.58
짝사랑,3.58
조작,3.58
내리,3.58
몰입,3.58
회수,3.58
아직,3.58
꼭,3.58
대학,3.58
잡히,3.58
용의자,3.58
피시,3.58
칩스,3.58
근처,3.58
밑,3.58
놓치,3.58
방향,3.58
오늘,3.58
복선,3.58
동영상,3.58
여,3.58
짓,3.58
송금,3.58
본격적,3.58
학생,3.58
맥,3.58
종결,3.58
소식,3.58
몰르,3.58
형,3.58
마약,3.58
만,3.58
분노,3.58
