word,tf
올해,2.0
발렌타인,1.0
데이,4.91
편,4.17
찾아오,3.0
해피,4.91
스,5.46
최종,2.58
관객,2.58
개봉,5.0
동원,1.0
공포,6.67
미스터리,3.0
스릴러,4.17
영화,8.44
먼저,3.32
흔히,2.0
버스,4.0
특이,2.0
제목,3.81
세,3.0
관람,3.58
가이,2.58
상영,2.58
분,4.17
전형,1.0
적인,2.58
키,3.32
링,2.0
타임,5.25
의,3.0
런닝,1.0
작품,2.0
이면서,1.0
번째,5.52
내가,3.32
죽,7.82
덜,4.91
날,5.39
혹은,1.0
엣,2.0
오브,2.0
투,2.0
모,2.58
우,2.0
루프,6.04
무한히,2.0
반복,7.25
사건,2.58
해결,3.0
여,3.0
주인공,6.61
처절,1.0
노력,1.0
내용,4.7
연출,1.0
크리스토퍼,3.58
랜던,3.58
감독,4.0
디스,1.0
터,4.81
비아,1.0
파라,1.0
노,3.32
액,1.0
티,2.0
비,2.58
시리즈,2.0
각본,1.0
쓰,6.61
이야기,5.0
피,4.7
이에,1.0
서,3.81
맡,2.0
주연,1.0
라,4.7
랜드,2.0
조연,1.0
출연,4.17
제시,2.0
로테,4.0
여러,3.58
한국,3.0
인지도,1.0
별로,3.58
없었,2.58
아무,3.58
배우,3.0
시장,1.0
제대,2.0
눈,5.32
장,2.0
찍,3.0
추천,3.81
줄,5.52
거리,3.32
및,2.58
결말,5.91
다량,2.0
스포,5.58
포함,3.32
첫,3.32
장면,4.91
생일날,5.0
아침,5.64
남자,6.04
기숙사,6.46
방,7.04
깨어나,6.36
여주인공,3.81
트리,9.37
제시카,4.17
시작,5.39
책상,2.0
밑,3.32
주인,4.17
카터,8.27
이스라엘,3.58
브로우사드,3.58
전날,4.0
잔뜩,1.0
술,5.0
취하,3.81
잠,5.7
자,5.75
무슨,3.32
영문,1.0
아버지,3.32
전화,4.17
무시,4.17
나가,5.09
생일,7.09
어머니,2.0
하지만,5.58
돌아가시,3.32
후,5.32
챙기,3.58
밖,4.0
나간,1.0
마주치,3.0
들어가,4.0
룸메이트,5.86
로리,7.83
루비,1.0
모딘,1.0
축,1.0
작,3.32
케이크,6.64
먹,6.52
버리,5.91
밤,4.91
파티,6.25
이상,4.32
가면,6.46
의문,3.58
킬러,2.0
죽이,7.87
당하,6.09
그리,4.32
바로,5.46
뜨,4.7
단순,2.58
꿈,4.46
대처,1.0
나서,2.58
순간,4.32
이미,3.58
겪,3.81
일어나,5.25
그날,4.58
이제,4.46
대략,1.0
상황,5.0
인지,1.0
소스라치,1.0
놀라,4.0
하루,6.95
계속,6.43
도움,4.0
요청,3.58
자초지종,1.0
듣,5.32
늘,4.17
제안,1.0
어차피,2.58
한명,3.81
범인,7.58
유추,2.58
제거,3.32
끊없,1.0
지켜보,2.0
따라다니,1.0
매번,3.0
누,4.91
군,3.58
찾,5.0
낳,3.58
다음,3.32
어쨌든,2.0
진짜,5.17
어느,3.58
일하,3.81
병원,6.29
연쇄,5.95
살인범,6.21
탈출,4.81
생기,4.0
우여곡절,2.0
끝,5.25
자축,3.0
조그마,1.0
케잌,4.46
분명히,2.0
결국,5.46
독이,3.32
임,4.17
알아채,2.0
이유,4.91
그레고리,5.64
교수,5.17
좋아하,5.0
적절,1.0
관계,3.81
맺어,1.0
질투,2.0
살인,5.17
