word,tf
트리,9.37
영화,8.44
카터,8.27
죽이,7.87
로리,7.83
죽,7.82
범인,7.58
반복,7.25
생일,7.09
방,7.04
하루,6.95
공포,6.67
케이크,6.64
주인공,6.61
쓰,6.61
컵,6.61
먹,6.52
기숙사,6.46
가면,6.46
계속,6.43
깨어나,6.36
거,6.36
병원,6.29
파티,6.25
살인범,6.21
해피데스데이,6.21
죽음,6.13
당하,6.09
루프,6.04
남자,6.04
연쇄,5.95
결말,5.91
버리,5.91
저,5.91
룸메이트,5.86
자,5.75
잠,5.7
무섭,5.7
자기,5.7
아침,5.64
그레고리,5.64
스포,5.58
하지만,5.58
처음,5.58
번째,5.52
줄,5.52
스,5.46
바로,5.46
결국,5.46
학교,5.46
남,5.46
날,5.39
시작,5.39
눈,5.32
후,5.32
듣,5.32
살인마,5.32
마스크,5.32
타임,5.25
일어나,5.25
끝,5.25
왜,5.25
살해,5.25
케익,5.25
축하,5.25
진짜,5.17
교수,5.17
살인,5.17
친구,5.17
나가,5.09
함께,5.09
조셉,5.09
개봉,5
이야기,5
생일날,5
술,5
상황,5
찾,5
좋아하,5
너무,5
데이,4.91
해피,4.91
덜,4.91
장면,4.91
밤,4.91
누,4.91
이유,4.91
끝나,4.91
길,4.91
나타나,4.91
내일,4.91
뒤,4.91
재밌,4.91
본인,4.91
똑같,4.91
터,4.81
탈출,4.81
깨,4.81
내용,4.7
피,4.7
라,4.7
뜨,4.7
맞이하,4.7
줄거리,4.7
다,4.7
못,4.7
같이,4.7
그런데,4.7
방법,4.7
무한,4.7
툼스,4.7
그날,4.58
또다시,4.58
직접,4.58
주의,4.58
룸메,4.58
닉,4.58
다니엘,4.58
차,4.58
트,4.58
등장,4.58
꿈,4.46
이제,4.46
케잌,4.46
독,4.46
몸,4.46
포스터,4.46
그리하,4.46
돌아가,4.46
끄,4.46
울리,4.46
오늘,4.46
경찰,4.46
살인자,4.46
초,4.46
보내,4.46
여주,4.46
반전,4.46
여기,4.46
이상,4.32
그리,4.32
순간,4.32
모든,4.32
마지막,4.32
타,4.32
총,4.32
모습,4.32
사이,4.32
칼,4.32
막,4.32
만나,4.32
용의자,4.32
남학생,4.32
많이,4.32
편,4.17
스릴러,4.17
분,4.17
출연,4.17
제시카,4.17
주인,4.17
전화,4.17
무시,4.17
늘,4.17
임,4.17
상태,4.17
이것,4.17
한번,4.17
창문,4.17
놀,4.17
오르골,4.17
누군가,4.17
맞,4.17
걸,4.17
경찰차,4.17
곳,4.17
후기,4.17
다르,4.17
마음,4.17
그래서,4.17
알아내,4.17
버스,4
감독,4
로테,4
전날,4
밖,4
들어가,4
놀라,4
도움,4
생기,4
빠지,4
정말,4
무엇,4
뭐,4
부분,4
룸,4
깨닫,4
입,4
만하,4
겟아웃,4
음악,4
기억,4
촛불,4
뉴스,4
위,4
넣,4
깜짝,4
인물,4
점점,4
없이,4
하다,4
느,4
사이다,4
예쁘,4
제목,3.81
서,3.81
추천,3.81
여주인공,3.81
취하,3.81
겪,3.81
한명,3.81
일하,3.81
관계,3.81
둘,3.81
중간,3.81
나쁘,3.81
소재,3.81
약간,3.81
까,3.81
엄청,3.81
저녁,3.81
이번,3.81
메이트,3.81
주변,3.81
장난,3.81
기분,3.81
리뷰,3.81
기대,3.81
쓰레기통,3.81
마스코트,3.81
쓰러지,3.81
그냥,3.81
목숨,3.81
도망치,3.81
벨소리,3.81
평소,3.81
리,3.81
식,3.81
가볍,3.81
믿,3.81
잡,3.81
아,3.81
갈,3.81
근데,3.81
웃기,3.81
똑같이,3.81
관람,3.58
크리스토퍼,3.58
랜던,3.58
여러,3.58
별로,3.58
아무,3.58
이스라엘,3.58
브로우사드,3.58
챙기,3.58
의문,3.58
이미,3.58
요청,3.58
군,3.58
낳,3.58
어느,3.58
벌이,3.58
사랑,3.58
드리,3.58
돌아오,3.58
공인,3.58
파티장,3.58
싸우,3.58
갑자기,3.58
자살,3.58
진범,3.58
어쩌,3.58
코믹,3.58
미국,3.58
어,3.58
제작진,3.58
벨,3.58
설정,3.58
남자애,3.58
엄마,3.58
찌르,3.58
빵,3.58
들어오,3.58
목,3.58
채,3.58
다음날,3.58
준비,3.58
벗어나,3.58
보고,3.58
성격,3.58
불륜,3.58
얘기,3.58
역시,3.58
해,3.58
치,3.58
듯,3.58
삶,3.58
서명,3.58
군지,3.58
살리,3.58
기회,3.58
이용,3.58
느끼,3.58
잠들,3.58
베이비,3.58
먼저,3.32
키,3.32
내가,3.32
노,3.32
거리,3.32
포함,3.32
첫,3.32
밑,3.32
무슨,3.32
아버지,3.32
돌아가시,3.32
작,3.32
제거,3.32
다음,3.32
독이,3.32
의심,3.32
그저,3.32
거기,3.32
전개,3.32
이렇게,3.32
웃,3.32
월요일,3.32
이해,3.32
방안,3.32
치이,3.32
입원,3.32
자동차,3.32
구하,3.32
드,3.32
짓,3.32
사,3.32
건,3.32
뭔,3.32
평점,3.32
느낌,3.32
스토리,3.32
유,3.32
알리,3.32
아빠,3.32
늦,3.32
의사,3.32
라이언,3.32
키스,3.32
날리,3.32
리스트,3.32
머리,3.32
안전,3.32
쫓아오,3.32
스스로,3.32
체포,3.32
불,3.32
잘못,3.32
동안,3.32
몇,3.32
죽인,3.32
생각나,3.32
씬,3.32
살아나,3.32
바뀌,3.32
다니,3.32
성공,3.32
컵케이크,3.32
귀신,3.32
이름,3.32
경적,3.32
누구,3.32
컵케잌,3.32
끼,3.32
과정,3.32
보여주,3.32
번역,3.32
면,3.32
해보,3.32
소름,3.32
